tweet-avatar-link href,tweet-avatar src,tweet-header-name,tweet-header-handle,tweet-time,tweet-time href,tweet-translate-after,tweet-reply-to,tweet-reply-to 2,tweet-reply-to href,tweet-body-text,tweet-date,tweet-interact-reply,tweet-interact-retweet,tweet-interact-favorite,tweet-interact-more-menu-follow,tweet-interact-more-menu-block,tweet-interact-more-menu-mute-user,tweet-self-thread-button,tweet-self-thread-button href,emoji src,
https://twitter.com/Oxfomosa,https://pbs.twimg.com/profile_images/1529982102531641344/7sN9jJHy_bigger.jpg,Oxfomosa,@Oxfomosa,June 5,https://twitter.com/Oxfomosa/status/1665610682509959168,,Replying to,@syhmihirn,https://twitter.com/syhmihirn,"hahaha...movie Mat Kilau, of all things",14:45 - 5 Jun 2023 ___Twitter for Android,0,0,0,Follow @Oxfomosa,Block @Oxfomosa,Mute @Oxfomosa,Show thread,https://twitter.com/syhmihirn/status/1665559395843940354,,
https://twitter.com/Oxfomosa,https://pbs.twimg.com/profile_images/1529982102531641344/7sN9jJHy_bigger.jpg,Oxfomosa,@Oxfomosa,June 5,https://twitter.com/Oxfomosa/status/1665589155647111171,,Replying to,@syahredzan,https://twitter.com/syahredzan,and thought it is so hilarious he chose to make reference from a dialogue in movie Mat Kilau to support his view ??? hahaha...adoiii,13:19 - 5 Jun 2023 ___Twitter for Android,1,0,2,Follow @Oxfomosa,Block @Oxfomosa,Mute @Oxfomosa,Show thread,https://twitter.com/syahredzan/status/1665530153462530048,,
https://twitter.com/drnotak,https://pbs.twimg.com/profile_images/1059089539094896640/UbeyEyFX_bigger.jpg,notak,@drnotak,June 1,https://twitter.com/drnotak/status/1664216611824488449,View translation,Replying to,@mkini_bm,https://twitter.com/mkini_bm,"Tngk mat kilau the movie je lah,mcmana org ciduk sejarah ikut mana dia rasa nak guna je.bkn tngk secara menyeluruh.yg buat filem dan yg tonton filem.mentaliti sama je.",18:25 - 1 Jun 2023 ___Twitter Web App,0,0,0,Follow @drnotak,Block @drnotak,Mute @drnotak,Show thread,https://twitter.com/mkini_bm/status/1663901030122397696,,
https://twitter.com/aniq17najmi,https://pbs.twimg.com/profile_images/1379768345789001729/LMkiMBL5_bigger.jpg,Najjimmy,@aniq17najmi,June 1,https://twitter.com/aniq17najmi/status/1664103924255662082,View translation,,,,"Polis evo 3 sedap boh. Tak lah power, tapi sedap. Tak rasa bazir sapot movie lokal macam ni dekat wayang. Plot ringan. Action sequence nice, lagi better dari mat kilau dari segi sound dengan camera angle. Plot armor tebal, tapi kau tengok one piece takde complain pun. 6.5/10.",10:57 - 1 Jun 2023 ___Twitter for Android,3,0,3,Follow @aniq17najmi,Block @aniq17najmi,Mute @aniq17najmi,,,,
https://twitter.com/ezximo,https://pbs.twimg.com/profile_images/1712875420704821250/-iTsoam7_bigger.jpg,peaceminusone,@ezximo,May 27,https://twitter.com/ezximo/status/1662306418660360193,View translation,Replying to  and,@vtymhd,https://twitter.com/vtymhd,"kena pastikan movie yg dibuat tu best gila pastu hype pastu kutipan kalahkan mat kilau, baru org boleh ckp benda positive",11:55 - 27 May 2023 ___Twitter for Android,0,1,2,Follow @ezximo,Block @ezximo,Mute @ezximo,Show thread,https://twitter.com/vtymhd/status/1662098064440717314,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f1f5-1f1f8.png,
https://twitter.com/BiawakHunter,https://pbs.twimg.com/profile_images/1194685862270750720/douMvpdp_bigger.jpg,kita mati dalam derhaka,@BiawakHunter,May 27,https://twitter.com/BiawakHunter/status/1662271252927746048,,Replying to,@malaysiakini,https://twitter.com/malaysiakini,"What to do, with the recent voting trends by the first time voters, influences by dumb tiktok videos, not capable of thinking, movies like mat Kilau which portrays non as enemy.... This route is taken to get votes.",09:35 - 27 May 2023 ___Twitter for Android,0,0,1,Follow @BiawakHunter,Block @BiawakHunter,Mute @BiawakHunter,Show thread,https://twitter.com/malaysiakini/status/1661945772626280449,,
https://twitter.com/izzsyzwan,https://pbs.twimg.com/profile_images/1660350076378836993/gcFEjg7q_bigger.jpg,Izzsyzwan,@izzsyzwan,May 26,https://twitter.com/izzsyzwan/status/1662091261929717760,View translation,,,,"Just watched polis evo 3. Was an okay movie. Predictable plot. 6/10 for me.
BUT!! Orang lain semua bergelak tawa dan enjoyed the movie so much. Siap dpt applause daripada people in the movie hall. 
Tapi yg ni dpt applause better la drpd movie mat kilau sampah",21:40 - 26 May 2023 ___Twitter for iPhone,0,0,0,Follow @izzsyzwan,Block @izzsyzwan,Mute @izzsyzwan,,,,
https://twitter.com/tunsrijimmy,https://pbs.twimg.com/profile_images/1090949300547313664/V-IvEjKG_bigger.jpg,Tun Sri Jimmy,@tunsrijimmy,May 25,https://twitter.com/tunsrijimmy/status/1661514730069200896,View translation,Replying to  and,@waty1407,https://twitter.com/waty1407,"Mat kilau tu historical, bkn citer political bodoh. Nk buat movie promote diri sndiri tu tggu mampos la dlu.",07:29 - 25 May 2023 ___Twitter for Android,0,0,2,Follow @tunsrijimmy,Block @tunsrijimmy,Mute @tunsrijimmy,Show thread,https://twitter.com/waty1407/status/1661017016730533889,,
https://twitter.com/WaheedaMustaffa,https://pbs.twimg.com/profile_images/1631626158369546240/_C2XF41S_bigger.jpg,@ne,@WaheedaMustaffa,May 24,https://twitter.com/WaheedaMustaffa/status/1661398597748006912,View translation,Replying to  and,@ShoibZahari,https://twitter.com/ShoibZahari,"Movie Mat Kilau best. Semua bdk2 teruja part lawan penjajah. Siap jatuh cinta dgn seni silat. 
Filem Anwar, takde daya tarik. Cer tanya budak2 skrg, viral ke tak filem ni.",23:47 - 24 May 2023 ___Twitter for Android,0,0,0,Follow @WaheedaMustaffa,Block @WaheedaMustaffa,Mute @WaheedaMustaffa,Show thread,https://twitter.com/ShoibZahari/status/1661034124461903872,,
https://twitter.com/Farhan_Hope92,https://pbs.twimg.com/profile_images/1647635879945703424/S6p1sr1Y_bigger.jpg,Farhan,@Farhan_Hope92,May 24,https://twitter.com/Farhan_Hope92/status/1661331996705165313,View translation,Replying to,@nurulaminhamid,https://twitter.com/nurulaminhamid,X dak masalah.. masing2 boleh p.. x mau sudah..  xdak yg pelik utk promosi.. sbg contoh filem mat kilau pun ada jgk mcm ini.. nk lagi padu buat movie pasal tokoh Pas.. x payah susah2.. dah confirm 1.8bilion worldwide view..,19:23 - 24 May 2023 ___Twitter for iPhone,0,0,4,Follow @Farhan_Hope92,Block @Farhan_Hope92,Mute @Farhan_Hope92,Show thread,https://twitter.com/nurulaminhamid/status/1661295363280748545,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f53a.png,
https://twitter.com/fdziraa,https://pbs.twimg.com/profile_images/1684049796649332736/U8YU0yMc_bigger.jpg,Nico Robin,@fdziraa,May 24,https://twitter.com/fdziraa/status/1661191935590268928,,,,,I compared with mat kilau for no apparent reasons. Just being bitter bcs the movie sucks balls.,10:06 - 24 May 2023 ___Twitter for iPhone,0,0,0,Follow @fdziraa,Block @fdziraa,Mute @fdziraa,Show thread,https://twitter.com/fdziraa/status/1661191932855599106,,
https://twitter.com/TheFunSizeGuy,https://pbs.twimg.com/profile_images/1720014624819683328/D8iB4ZUd_bigger.jpg,Megat ’Adli,@TheFunSizeGuy,May 23,https://twitter.com/TheFunSizeGuy/status/1660891323476635648,,,,,"But even if i have to, this movie needs to exist (just like Mat Kilau), to make way for better biopics in the future.

Or how not to.",14:12 - 23 May 2023 ___Twitter for iPhone,2,4,51,Follow @TheFunSizeGuy,Block @TheFunSizeGuy,Mute @TheFunSizeGuy,Show thread,https://twitter.com/TheFunSizeGuy/status/1660891073844232193,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f1f5-1f1f8.png,
https://twitter.com/AzharFacemok,https://pbs.twimg.com/profile_images/1265822400169472000/Vl-oZXUT_bigger.jpg,@kamalamirulalazhar,@AzharFacemok,May 23,https://twitter.com/AzharFacemok/status/1660816411915321344,View translation,Replying to,@RMalanjum_,https://twitter.com/RMalanjum_,"Ermm.. rasanya time mat kilau pun byk tiket free.. mat kilau tu 4 kali aku dpt tgk free.. polis evo 3 dua kali .. anwar untold story ni belum dpt sbb asik habis yg free.. mcm2 laaa movie free aku pernah tgk hahahah.. kalau boleh semua mp, adun buat mcm ni utk movie lain heheheheh",09:14 - 23 May 2023 ___Twitter for Android,0,0,0,Follow @AzharFacemok,Block @AzharFacemok,Mute @AzharFacemok,Show thread,https://twitter.com/RMalanjum_/status/1660458528618987520,,
https://twitter.com/evertayc,https://pbs.twimg.com/profile_images/1714860720297578496/99ERndI7_bigger.jpg,Mr.Kim,@evertayc,May 22,https://twitter.com/evertayc/status/1660600417292795906,View translation,Replying to,@RMalanjum_,https://twitter.com/RMalanjum_,"Aq baru lepas tgok tadi. Aq perati Satu2 seat yg tunjuk penuh Kat website n Semua penuh. Also dorang datang lain2. Ye mmg Ada bagi free tiket. Tapi movie lain pun Ada (tanda putera, mat kilau). Nak kecoh2 kenapa?",18:56 - 22 May 2023 ___Twitter for Android,0,0,3,Follow @evertayc,Block @evertayc,Mute @evertayc,Show thread,https://twitter.com/RMalanjum_/status/1660458528618987520,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f53a.png,
https://twitter.com/jangdeganza,https://pbs.twimg.com/profile_images/1613863219688529921/W3GjelN__bigger.jpg,Jack of All Trades,@jangdeganza,May 22,https://twitter.com/jangdeganza/status/1660451617173569536,View translation,,,,"So movie bangnon dgn mat kilau, mana lagi ngam? Dialog, story line, cinematografi",09:04 - 22 May 2023 ___Twitter for iPhone,0,0,0,Follow @jangdeganza,Block @jangdeganza,Mute @jangdeganza,,,,
https://twitter.com/LEOSQUEEN2020,https://pbs.twimg.com/profile_images/1142970838213259264/jiluRXWE_bigger.jpg,SIROCCO CALIMA ZONDA ANDHI ENGAGE ARISTOTLE,@LEOSQUEEN2020,May 22,https://twitter.com/LEOSQUEEN2020/status/1660440295178403840,,Replying to,@eddydaud,https://twitter.com/eddydaud,"Mat Kilau.Iklan terlebih.Aku terkena juga.Bila tengok,hampeh.1 plot lama Cinema pun bg full slots/day instead of 4 slots/day per cinema movie Anwar.",08:19 - 22 May 2023 ___Twitter for Android,0,0,2,Follow @LEOSQUEEN2020,Block @LEOSQUEEN2020,Mute @LEOSQUEEN2020,Show thread,https://twitter.com/eddydaud/status/1660273079527014400,,
https://twitter.com/secebisan,https://pbs.twimg.com/profile_images/1722259369344319488/InrafTln_bigger.jpg,secebis San,@secebisan,May 21,https://twitter.com/secebisan/status/1660295401470312449,View translation,Replying to,@mareamaria,https://twitter.com/mareamaria,kan? tu hari kemain kata boleh lawan sale mat kilau. buat movie tak pakai tanjak ni boleh mimpi je la.  hdhshs,22:44 - 21 May 2023 ___Twitter for iPhone,1,0,0,Follow @secebisan,Block @secebisan,Mute @secebisan,Show thread,https://twitter.com/mareamaria/status/1660295073295405062,,
